UID,昵称,性别,签名,等级,头衔,关注数,粉丝数
458154784,方老师来啦,男,这个人...这人已经变成月更UP主啦！ 商务V：DENKIY 或 Egmsw0002,6.0,bilibili 知名动漫UP主,1023.0,1089710.0
609574224,阿宅寒星星,保密,一个普通的屌丝,5.0,,8.0,143952.0
14804670,无穷小亮的科普日常,男,发一些科普工作中的有趣小事,6.0,bilibili 2022百大UP主、科普作家张辰亮,145.0,9813157.0
437979684,一直可矮的修勾,保密,这位贵人既然都点进了我的主页，可不可以给个关注啊,5.0,,19.0,18851.0
1118188465,在下小狐兔,保密,小狐兔，不糊涂，边学画画边科普！恰饭合作请加vx：xiaohutu6677【备注品牌哦】,6.0,知识领域优质UP主,1065.0,724635.0
3493104466266852,阿瘫呀,保密,"回来啦
这个世界很荒唐，但仍要保持快乐！
围脖：阿瘫日记
表情包：阿瘫1、2",6.0,阿瘫官方账号,3.0,293895.0
4186021,初夏ChuXXia,男,全职不易，合作/询价: gzx15868816513 聊天群596058532！,6.0,bilibili 知名游戏UP主,860.0,1068731.0
524704055,大庆赶海,男,记录海边，分享大海乐趣,6.0,bilibili 知名UP主,1.0,4449375.0
1849523654,大猫饲养员breeder,男,"一个幸福的大型猫科动物饲养员、保育员
老虎是一级保护动物，只有动物园可以饲养哦～
不定时为大家更新饲养员的日常",6.0,,9.0,137101.0
604710494,长片短解,男,一部电影一段人生，商务合作：cpdjmovie（麻烦备注B站，品牌，咨询内容）,6.0,长片短解官方账号,18.0,1894864.0
1439941526,逗比罐头,保密,只是一个胡说八道的up罢了,6.0,bilibili 知名搞笑UP主,168.0,488871.0
97213827,潜艇伟伟迷,男,游戏下载链接在动态置顶 | 商务合作qtwwm111,6.0,bilibili 知名游戏UP主,36.0,4181963.0
222074908,李小龙谜之传人,保密,"商务合作请添加：lixiubi8888
这个博主武功造诣有多高？
三四层那么高...哈哈
感谢关注，感恩三连
",6.0,bilibili 知名UP主,280.0,377300.0
22109096,喵的课堂,保密,冷知识，热知识，喵的课堂开课啦！,6.0,,230.0,62175.0
1413338945,呆小砖,男,"我是都懂点的呆小砖
懂你的执念和弱点
呆小砖本砖v：daixiaozhuan",6.0,,30.0,86686.0
99157282,盗月社食遇记,保密,心里有光，哪儿都美。,6.0,2023百大UP主、2022年度原创栏目奖UP主、2021年度最高人气UP主,760.0,8095322.0
927587,木鱼水心,男,遥望理想，勇敢生存 | 商务合作：bd@ark-tv.com (请备注公司姓名及合作项目）公众号：木鱼水心,6.0,2023百大UP主、知名UP主,95.0,13555974.0
3494365282437767,向挽意_,男,小剧场正在马不停蹄的创作中……,6.0,,3.0,79285.0
59550906,wuhu动画人空间,女,分享内容仅为学习与交流，不可用作商业用途。版权归原作者所有，如侵权请联系删除https://space.bilibili,6.0,bilibili 知名动漫UP主,1817.0,1276459.0
284816271,小麦肤色_,保密,"初来乍到❤️多多支持
小麦仅此一个号～
商务v：xmfs1357 
",6.0,,5.0,278276.0
268941858,磊哥游戏,男,我是磊锋,6.0,bilibili 知名游戏UP主,20.0,1138523.0
472102908,阿蔡美食雕刻,男,"国家一级烹调师
福建闽菜名厨
2020年《厨王争霸赛》中方主厨
胃：csk5959
邮箱1366556@qq.com",6.0,bilibili 知名美食UP主,10.0,2253484.0
22919199,堂堂一个小飞,保密,ai配音员，译制片，东北综艺等,6.0,bilibili 知名UP主,11.0,228187.0
594558993,T1电子竞技俱乐部,保密,大家好这里是T1！定期为大家带来队员们的故事！,6.0,T1电子竞技俱乐部官方账号,5.0,200472.0
3066511,特效小哥studio,保密,突破次元，增援未来！ 合作wx:VFXboys,6.0,2023百大UP主、 2020百大UP主、 2020年度联合创作奖UP主,435.0,4110885.0
654552,圆桌动漫,男,专业电子榨菜生产员，让大家在工作学习之余放松下，我是桌桌子，商务合作微信：mmhch123；粉丝群：812798891,6.0,圆桌动漫官方账号,1588.0,2832875.0
402157217,L探员,女,你有多久没好好仰望过头顶这片星空？,6.0,知识领域优质UP主,236.0,231375.0
3493260618106936,伤心欲茄222,保密,"祝我开心
微博@伤心欲茄222
合作：nasu222（备注来意）
*部分素材源自网络 侵联一定删",6.0,bilibili 知名搞笑UP主,50.0,2073568.0
2117316401,超帅气的强哥,保密,新人，求关注,6.0,bilibili 知名UP主,183.0,148362.0
23620015,六月Aurora,男, 嘿 这里是六月 喜欢的话请点个关注吧~【商务V：JuneA_21】,6.0,bilibili 知名游戏UP主,177.0,447010.0
1372433,Super也好君,保密,商务合作＋V：wyh2406298890  素材投稿：2406298890@qq.com,6.0,bilibili 2022百大UP主、知名UP主,237.0,2471352.0
5007752,萝卜吃米洛,男,冲冲冲~ （别在意声音什么的，希望大家能专注视频内容）商务合作： meonsame,6.0,bilibili 知名游戏UP主、直播高能主播,146.0,2118971.0
214544689,银子_YIN,男,绝区零UP 杂谈/攻略/剧情 单机游戏宅  努力提升视频质量 QQ绝区零交流群:569277123  合作请看公告,6.0,,1258.0,15401.0
25329626,咪克菌,保密,画风古怪的脑洞师，  商务合作:fqsw1626。,6.0,bilibili 知名动漫UP主,1308.0,587078.0
68439967,萧枭同学,保密,"每天17点更新
新人up主-谢谢关注
分享日常|斗智斗勇
一个被老师通缉的学生
商v、844319071",6.0,bilibili 知名搞笑UP主,28.0,1978504.0
54911793,一只黑Q,保密,借着挑战，出门走走,6.0,bilibili 知名美食UP主,14.0,1094930.0
479033035,序77,男,"把普通的日子过的更快乐些！全平台同名,祝愿我们现在所努力的都在正确的轨道上.凡是过往，皆为序章.",6.0,bilibili 知名Vlog UP主,38.0,615934.0
23237718,害羞7,保密,"要努力！（无公司不签约）
商务合作：haixiu77_（不是本人）
群：828589890",6.0,bilibili 知名UP主,125.0,1585926.0
525382468,人间放映厅,保密,征稿啦！ 需要有文字功底并且热爱电影，对电影有独特见解的！有经验者优先！ wanghg-0204（备注说明来意）,6.0,bilibili 知名影视UP主,7.0,1042878.0
285571498,盖里老哥,男,工作室联系wxb5emoney～感谢大家支持！日常更新基本都会预告！,6.0,bilibili 知名UP主,107.0,1949803.0
642892779,帅山姆先生,保密,英国人山姆，TEFL国际英语教师，9年英语教学经验，HSK5级 | 合作:344088395(非本人),6.0,bilibili 知名UP主,19.0,1352525.0
403072772,在下油甘,保密,二次元手游up主，代肝需求+企鹅：1206142698商务合作v：hongcheng125，直接说明来意，谢谢！,6.0,优质游戏鉴赏家,16.0,221402.0
1905253852,小鹿库库,女,"是女生 小鹿2.0和3.0都是我 不玩外网小世界  
商务联系LJSW567（非本人 备注品牌）",6.0,,65.0,1056826.0
16248639,冲浪达人阿怡,保密,随便拍点 拍随便点,6.0,搞笑视频UP主,35.0,1123581.0
14890801,大炒面制造者Cen,男,商务合作微信号illateasee,6.0,2021年度巅峰主播、bilibili 知名游戏UP主、直播高能主播,144.0,1925782.0
2053879295,颜小白靓仔,男,商务合作走花火或私聊，iwanna粉丝群：155381310，怀旧粉丝7群：974622510 ,6.0,bilibili 知名游戏UP主,497.0,163877.0
11030184,猫村猫村,保密,只有生活的好不好才是真的！商务：778326595@qq.com,6.0,bilibili 知名UP主,45.0,151579.0
515014430,金渐层JOJO,女,"其他平台也叫：金渐层JOJO
弟弟是一只白色矮脚猫，就是不太聪明
头像那只叫JOJO，为什么叫JOJO？欧拉欧拉欧拉！",5.0,,6.0,23232.0
2314623,超级funky橙子,男,"希望能给你带来快乐！
商务vx：503779350（非本人，请注明来意）",6.0,优质游戏鉴赏家,197.0,469441.0
48084221,蜜雪冰城官方站,保密,没错，就是你经常看到的那个蜜雪冰城！官方唯一账号！！！,6.0,蜜雪冰城官方账号,43.0,1330833.0
441897078,火影忍者手游情报君,保密,《火影忍者》手游人型自走爆料机，在被开除的边缘 疯 狂 试 探 QAQ,6.0,,82.0,1990080.0
3546678116223371,猪头与小霞,男,这是猪头小霞夫妻在b站的唯一账号，之前那个高仿搬运号涨粉快上万了[无语]。请大家一定要多多来支持原作者啊，拜托了！  ,6.0,,11.0,26327.0
701734634,维C动物园-,保密,成人动物世界，全是瞎扯无心科普,6.0,bilibili 知名科普UP主,51.0,1797769.0
1438375628,粥粥的终极理解,男,精心制作游戏攻略中~商V：zuichudecz,6.0,bilibili 知名游戏UP主,120.0,446218.0
3493128455587886,峡谷玄学家-瘤子,男,"每晚七点在本站直播哈
恩师蛮王
qv2410751335（备注来意）",5.0,,87.0,75559.0
34840587,海棠家的大肥鱼,保密,"此时，一个10年后的亿万富翁点了下关注！٩(￥A￥)۶
商务微信:haitang6a6 (非商请勿加)
谢绝转载视频，私聊的亲们请直接说事哦",6.0,bilibili 知名影视UP主,809.0,1022512.0
20669779,敲萌豹风党,保密,希望你看的开心！服务器合作+Q：462159948，商务合作+V：17600468779（非本人）,6.0,bilibili 知名游戏UP主,324.0,1283504.0
3546655198546812,子论道,男,奇门•易经•風氺•咨询dyhmyx1314,6.0,,14.0,92848.0
95888944,启明真难99,保密,"先在某音检验，再在本站展示
努力成为百大up主",3.0,,27.0,2581.0
3546631116950499,小万姑娘呀,女,四川省&成都市“五四青年奖章”获得者,0.0,,0.0,22720.0
408681697,申庭护考图图老师,保密,"❤️11年护考培训经验
❤️跟着图图老师一起上岸吧
❤️每天分享护考干货",4.0,,16.0,11470.0
1327039787,延玺讲历史,保密,,0.0,,3.0,55313.0
1042277203,星雨Starrain,男,创造无限可能！,6.0,bilibili 知名游戏UP主,132.0,470014.0
3461562077547431,大伟老三,男,火花合作：Lh18813023867,6.0,大伟老三官方账号，短剧UP主,9.0,148118.0
478691043,穿毛裤的小拉泽,男,"商务VX：jsjs2888（注明来意）
一名宠粉up主，作品稳定更新，感谢关注！",6.0,bilibili 知名美食UP主,83.0,2862681.0
1480357573,马克油画,保密,"视频中的故事是夸张化表达
站内只有一此账号，其他为盗用仿冒",6.0,马克油画官方账号,12.0,103367.0
3546689554090739,化妆师苍玄玄,女,新人，现在关注就是老粉了！分享化妆术～明星艺人化妆师，国家高级化妆师，八年化妆造型培训导师，老二次元，女的，全网同名。,2.0,,1.0,19203.0
29988008,关云长在此_,男,"本人喜欢练青龙偃月刀，马上战斗，扮演关羽角色，致力
手三国演义短视频拍摄，传承中国传统文化。没有关注
我的，多多关注。已经关注的可以编铜或转",6.0,,54.0,30089.0
382651856,战双帕弥什,保密,宇宙第一菜鸡官方QAQ,6.0,战双帕弥什手游官方账号,12.0,2492506.0
53456,Warma,保密,我是沃玛，做点傻开心的视频。日常发在微博：@_warma_  合作邮箱：chickenfish@vip.qq.com ,6.0,bilibili 知名UP主,1495.0,4554081.0
1080737422,巧克力味的猪肘,男,不油不腻，分享好剧。你的点赞，是我前进的最大动力！商务合作：Yangcoco3514（不是本人）,6.0,bilibili 知名影视UP主,51.0,205076.0
443090051,小文颖灬,保密,专治不开心 合作请联系wuen2436(非本人) 你也和我一样可爱且调皮吧~感谢喜欢  视频均为下班时间拍摄哦~,6.0,,6.0,487644.0
2920960,大祥哥来了,男,"商务合作v：dxg9177 谢绝一切探店推广
微博：@大祥哥来了",6.0,bilibili 2021百大UP主、2019年度黑马UP主、2021年度巅峰主播,515.0,4586003.0
680447,马里奥红叔,男,商务微信：hongshuv5（备注具体来意/只写商务合作的一律不加）,6.0,bilibili 知名游戏UP主,161.0,2235567.0
628474872,Faouzia凡希亚,女,? business inquiries: faouzia@plushmanagement.com,6.0,加拿大歌手,3.0,239696.0
406636263,HOLA小测佬,保密,"商务合作联系VX：xiaocelaotv（注明品牌）
正在环球旅行吃遍全世界美食",6.0,2023百大UP主、知名UP主,163.0,4388499.0
